x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;y;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x44;x45;x46;x47;x48;x49;x50;x51;x52;x53;x54;x55;x56;x57;x58;x59;x60;x61;x62;x63;x64;x65;x66;x67;x68;x69;x70;x71;x72
1377888,466;12331;0;0;4436;0;0;2911;0;1661;3323;1847;8066;2247;124;47;34021;2833;27375;0;3384;429;30455;3385;181;11706;98,99298542;86,01101583;93,06021244;110,1473552;100,3572459;85,87672889;110,7664933;93,56923869;110,4969529;134,7660602;1180504,2;466014,73;706594,47;7895;622561;139139;130996;8143;1815;52591;29294;8575;7639;7083;0;0;0;0;0;0;0;84,06004855;53049,01543;130,7560976;226882,0653;695153;766779;286441;118274;215812;344884;550902;350334;6452;42920;2725446;474,21603
1292829,723;16725;0;0;4485;0;0;4712;0;4591;2937;1550;9914;5134;92;35;43595;3351;34918;675;3578;990;39792;3578;225;12538;94,30122279;93,35708184;93,02329412;96,59980561;91,1208905;69,06257649;120,4638036;61,82223587;102,6462074;133,9371884;1013982,72;472233,8;534575,62;7173,3;561468;120824;108851;11973;2193;47020;30722;7345;6249;2704;22172491;0;17038244;3257509;1349177;527561;0;83,99599819;53347,55596;133,796937;227911,757;1253770;871114;432219;58161;421864;836854;386873;479293;8767;88278;2830115;310,6400571
1298611,762;188105;8454;8872;0;15;529;4015;159119;4801;2300;1242;181378;5345;87;53;42174;1804;25694;1216;5352;785;36721;5352;101;13889;108,1714739;114,0260093;104,6472805;103,3736166;95,32039821;76,09786788;147,803821;150,0999229;110,4292907;126,4833031;1140795,11;575662;555997,21;9135,9;614760;84023;70055;13968;1576;88247;16814;52540;10518;8375;34818066;0;25428666;5407887;2319456;1662057;0;94,12786712;60205,45126;134,8105502;228111,6971;1163592;727758;388164;88291;221509;921890;406073;341878;9910;93100;2292647;499,5724549
1276760,698;138807;26327;15378;0;1117;1144;2967;85982;2969;2923;1697;133559;3418;86;47;79413;909;60964;1328;4185;1610;74726;4185;502;10201;106,6392617;128,0211342;96,5310035;96,17849803;95,82329176;78,40329864;130,3014308;139,9655233;113,4280732;127,3963376;1004279,98;470077,86;526624,52;7577,6;576605;111282;103101;8181;1588;46659;25021;10486;7676;3476;48221299;157995;34950978;7364726;3407672;2286778;53150;87,48920563;56353,03633;133,796937;227961,742;1187681;917628;361722;70680;200858;884982;497608;521861;8514;87748;2154002;445,8965157
1429299,469;43788;7127;8690;0;473;263;498;19078;4822;2837;973;37371;5320;100;24;72206;731;40610;1056;8822;2248;62711;8822;673;11328;99,97496099;123,6122607;97,76259885;84,70989002;97,61268884;78,48691481;100,2994461;94,4198825;107,2601403;127,2558602;1208142,21;487798,8;714915,71;5427,7;647050;120281;106721;13560;1977;71141;46719;7729;11727;4966;61557406;191933;45347137;8728306;4577898;2658982;53150;92,11485984;59747,82192;133,796937;227404,9088;1217045;919807;308759;51107;419757;934958;339369;442768;9346;95654;2074633;492,3530385
1343396,529;24623;1026;1324;0;817;168;54;17131;2703;1400;246;21202;3054;91;30;43726;205;18279;995;4838;2085;38272;4838;616;11871;96,04656948;105,4841947;99,25790761;97,23037681;74,64236738;68,73439045;81,53391868;69,48525559;102,4490338;124,2572905;1261467,6;502587,3;750194,4;8685,9;626736;180848;165064;15784;2784;61082;18670;12269;20153;9990;69978064;293500;51381998;9801815;5161206;3061125;278420;88,15590606;57327,47813;133,796937;227404,9088;1160009;758646;407165;39718;296233;857284;340694;424444;10255;86784;1850010;501,7110999
1392183,139;34977;759;1634;0;884;548;36;24465;5312;1339;144;28856;5865;91;21;25463;192;8552;1094;5410;2066;19389;5410;664;8614;100,63264;104,3373774;105,2379213;102,8926549;89,27939186;67,81266009;85,63389064;97,73644791;99,0825391;124,2913199;1285064,541;543146,071;734011,87;7906,6;665307;132142;123615;8527;2108;42065;27903;4258;7798;2106;81320584;594056;58407338;11596587;5951733;4141823;629047;86,54470023;56735,89478;133,796937;226242,2569;1205396;907460;233665;36984;285155;742878;485383;599440;9592;69890;2184304;454,8087923
1399309,296;6444;0;0;20;0;0;1083;0;3907;1434;293;1435;4586;95;35;6105;32;946;744;3576;807;1911;3576;618;9431;92,81813053;89,49064821;98,95341881;90,72670436;94,06714983;80,96498777;84,09351726;100,2902177;88,03607532;121,0076552;1712579,83;362686,3;1341899,73;7993,8;677524;97586;83363;14223;1678;40262;17039;5697;10670;6856;89504853;1093921;63997856;12772377;6324653;4436832;879214;94,13000824;62033,98798;132,7833239;225723,4123;1414660;963647;471177;51040;369681;814290;536052;658284;10600;82062;2107069;473,3035121
1288390,895;2479;0;0;120;0;0;307;0;1004;1048;319;596;1470;69;25;3609;0;0;0;2506;1103;0;2506;1103;10401;86,83987224;62,69400219;92,52669287;103,186278;83,36286465;88,69922454;69,50463131;74,34809545;79,93664424;117,8882705;1554375,26;350481,5;1195570,16;8323,6;625969;159761;145498;14263;2245;71236;43437;4168;9603;14028;98647074;2786272;68717362;14627958;6556106;4734172;1225204;91,66361371;60848,97805;136,8377765;231855,5761;1190379;826197;299260;41499;212048;851916;452470;500142;8805;88296;2177920;601,9506938
1533427,874;35851;2197;1688;278;27;156;823;26446;2258;1978;989;31825;2897;101;39;9525;9;878;625;3504;2629;4706;3504;1315;10171;99,87955811;97,77075663;100,0205937;108,541847;85,55414076;72,88837594;107,7254634;98,34887913;87,73190905;115,8353758;1500799,7;315289,13;1176773,57;8737;636773;128930;114220;14710;2031;121391;32893;74359;8463;5676;107276425;3611290;74084707;15774417;6717427;5578966;1509618;92,11425054;62237,38873;136,8377765;232181,4785;1474834;995932;429968;38102;416362;803965;591256;659183;10187;82918;2258848;439,2979056
1396919,618;32058;1439;3200;0;1187;186;554;21040;822;3630;2677;27703;1546;99;33;12949;0;0;838;2285;3417;9675;2285;989;8059;99,30687944;104,7834985;91,60416524;102,0936992;84,66788096;91,09918301;124,0638343;100,152808;80,14360329;113,6875304;1162698,13;265318,3;886160,73;11219,1;631778;103444;87241;16203;2273;65901;22323;35589;3819;4170;118793675;5219121;82106407;17095438;6839929;5837890;1694890;90,79144218;61141,5032;138,8650028;235118,5991;1183021;755037;345265;33972;303636;869883;442849;321690;8081;86266;2257992;391,7947668
1230323,577;10664;333;289;0;95;26;2425;1967;1970;3559;2500;5267;2787;84;26;22218;145;16199;956;3666;921;18463;3666;89;8308;91,39081309;81,68723778;100,8675354;86,99049115;99,79660305;72,24819381;120,6231808;95,21492802;96,12195177;108,6999483;1185277,13;364371,3;810867,73;10038,1;621081;153252;136097;17155;2535;93130;49527;11959;14177;17467;149057647;14343433;96644998;18662707;7066670;10342849;1996990;114,4834272;77230,73978;142,9194555;248312,6484;1022656;468671;340899;38056;259279;845821;165904;220323;9872;80278;2600156;509,5621205
1290372,917;8789;0;0;126;32;0;2446;0;1811;4374;3052;2972;2647;83;35;30919;779;20712;609;7871;948;23048;7871;0;8816;93,86604889;78,26955546;97,45525549;104,2104737;103,2357452;80,59730909;106,9303638;79,39905441;74,59319281;104,3996416;1096654,05;411482,68;671754,27;13417,1;675128;89890;75313;14577;1539;60625;45076;2261;11101;2187;6048532;911531;4037465;187386;97267;559259;255624;88,79772404;60139,72361;144,9466818;249190,3856;1205277;1261521;683879;38304;303870;843495;560023;759410;9594;82322;3469117;395,5247752
1195917,814;14978;0;0;811;57;0;4427;0;6223;3460;2522;5485;6866;76;29;14705;0;89;560;12900;1009;1579;12900;226;10457;88,71699277;78,68230528;90,68665928;94,39769295;92,44948722;57,91860956;128,1588468;87,75413333;81,25766233;102,1793732;907232,3;433155,17;464052,43;10024,7;595853;119926;107179;12747;1929;63689;28948;3723;25348;5670;16739721;2999289;11583923;401402;158324;994998;601785;87,08795268;59335,0245;143,9330686;249990,1461;1100440;861300;381355;50209;345128;731919;487609;397084;6621;76422;3583762;409,5800914
1384549,464;46465;550;4696;603;547;150;4797;27650;4087;3385;2297;39336;4716;83;33;51600;84;1736;909;15805;2661;35411;15805;384;10570;88,39110705;67,21108172;97,68737534;98,8749385;68,25977266;70,27553071;137,1451648;83,51325081;81,06960482;103,4079828;1030447,48;450687,44;574288,64;5471,4;633304;132402;119634;12768;2103;56534;25822;2930;21761;6021;27542124;4875400;19315929;594272;184582;1542591;1029146;95,68983328;65404,33728;142,9194555;248890,4754;1119716;731275;486449;64919;328233;880660;302695;339403;8632;81812;2856392;456,0845268
1356589,061;125910;26097;1358;29;528;361;1463;91528;1525;3021;1919;121882;1999;85;25;57005;2738;46102;867;2683;1772;53888;2683;434;9791;101,5135134;112,932212;100,2360306;102,0276774;69,6522033;78,84446114;150,8993273;83,03719979;78,23821966;100,8384677;865682,79;397616,86;460871,43;7194,5;574078;132612;122285;10327;2133;40382;30624;2449;4636;2673;38172904;5700946;26707020;898109;336708;2753595;1776033;89,87425195;61942,69572;142,9194555;248890,4754;1036546;750836;510074;50578;281006;740336;449587;316453;8372;77556;2704316;375,9952592
1468383,537;100029;15397;11239;1180;3399;774;414;63642;1688;2296;862;96827;2228;88;24;47187;4610;38828;1334;27;1014;46537;27;623;7682;99,41357525;127,8396227;97,00095894;89,91147906;82,53533774;70,1188747;109,1445272;82,05968347;83,9200918;99,16913842;955135,4;481562,4;467121,3;6451,7;573007;110123;101266;8857;1812;36686;19130;6436;4976;6144;47170218;6463958;33040203;1361927;497104;3531037;2274468;95,16646744;65715,44238;141,9058423;246091,3136;985258;873498;355231;54104;254860;826324;416124;361448;10102;86504;2674226;396,2834782
1370024,629;14012;1407;1267;368;796;126;78;6697;941;2332;676;11561;1605;133;37;61906;1728;55148;1579;0;1209;61092;0;814;10634;97,21221208;115,7261119;96,47237689;97,07573902;85,39880637;68,9151011;85,32920072;70,08415595;79,94014034;98,3126152;1462173,13;546717,51;906049,42;9406,2;617031;111981;98158;13823;1934;40366;21103;5239;6427;7597;56707368;7580520;39191289;2093277;763734;4373360;2703053;89,76144143;62237,17696;141,9058423;247029,0328;1145477;890074;359552;42830;254803;853359;475873;451516;11525;87082;2491419;387,5924201
1509645,657;14186;770;726;80;1646;125;38;7800;1527;1474;136;11719;2131;172;28;28830;587;23848;1678;0;985;28040;0;790;9443;97,87914987;108,7105318;97,86822294;96,7652432;99,29737756;84,15571403;84,41483789;79,16138352;75,22525811;104,8113324;1579341,73;628788,7;944529,63;6023,4;648084;106764;90231;16533;1971;66383;24650;25354;13520;2859;64892570;7929739;43961850;3345882;937939;5677454;3037035;89,66716354;62739,15867;141,9058423;247029,0328;1072974;778813;351490;39989;380797;678544;329538;462908;7923;70396;2744804;462,1506268
1548683,508;6884;40;256;730;480;26;40;2137;1818;1357;119;4118;2395;152;100;30671;942;27384;897;0;707;29990;0;681;8601;88,75151701;92,28246361;103,1277979;74,83513938;86,72679761;78,56720194;89,65764081;97,53366226;78,92055229;107,1690305;1667899,99;439907,5;1218517,09;9475,4;655964;111690;102324;9366;1751;61509;26043;13877;19523;2066;77804728;8338066;53903419;4823752;1032701;6259284;3394308;94,04264149;66442,71988;141,9058423;247029,0328;1162547;1086134;443536;52210;314314;806107;638965;489295;12048;85846;2566239;363,4601209
1447688,547;4039;0;0;195;5;0;190;8;1865;1776;632;636;2589;116;66;28;0;0;0;0;28;0;0;28;5708;87,83700512;70,35791578;94,50491341;92,06251658;95,95882475;86,00795645;82,57872591;95,84662133;91,71745909;110,5241273;1623079,97;447634,1;1165839,87;9606;619883;158307;149909;8398;2367;68215;42145;15007;7474;3589;87107083;8995334;60614191;5525948;1053960;6869424;3818765;90,23009186;63915,97139;141,9058423;247029,0328;1283559;905896;452879;23346;356936;760832;674503;397184;7532;79192;2694059;387,8039741
1451264,588;4844;0;0;180;21;0;469;0;1789;2385;1051;912;2550;294;37;28022;0;2;650;0;3711;27356;0;666;5528;92,33597067;85,8218987;101,1199752;84,15568422;111,5228808;80,13960412;102,452564;101,0329545;92,92313833;115,0430691;1555576,16;409289,6;1136313,66;9972,9;662477;145524;129803;15721;2745;32700;15215;5249;9178;3058;96454576;9372287;67171267;6215342;1064239;7822929;4357421;93,76257454;67028,70089;141,9058423;247029,0328;1083077;803749;498326;22323;287001;808420;376168;415237;8152;78316;2810468;405,953511
1339873,147;82105;9504;2029;0;402;404;631;65603;1101;2431;983;78966;1991;136;29;10029;0;0;475;0;2615;9337;0;692;5176;103,3571737;103,391221;101,2374968;101,868538;106,0514726;97,83226888;111,4559596;100,6920919;111,853378;119,3652736;1373246,55;169684,5;1194448,65;9113,4;631218;202547;190711;11836;3138;57394;32671;11492;10987;2244;109741409;10225588;76018583;8081767;1116691;8506300;4919513;91,53320769;65267,76327;141,9058423;247029,0328;955083;850875;449805;23899;240343;747212;336612;481791;6397;81394;2807355;359,166942
1270454,459;28153;2713;2085;2079;334;244;2096;15133;181;3288;2068;25192;748;114;31;10112;53;7462;656;9;1244;9851;9;252;5969;101,856938;90,6020203;101,0666246;105,8651276;103,3359808;92,31703409;127,6703845;99,36116926;117,7968491;123,0164106;1168542,5;286707,3;868767,1;13068,1;679780;263872;250598;13274;3943;52412;20491;9087;18284;4550;144014510;11963648;97877149;10360674;2304397;14351883;5698335;115,8876714;82653,21831;142,9194555;247648,8472;1186992;768300;559690;33429;251225;811286;498046;394735;8311;77742;3213574;316,2521728
1204070,926;25906;0;0;11326;0;0;5882;0;5528;3170;2379;17391;6041;77;18;61193;3518;51317;369;5116;873;55863;5116;214;5151;95,63788158;88,78683941;89,24444778;103,3271579;99,95265235;87,29565855;109,3957623;88,12356327;82,45458269;129,1598272;1213673,71;474559,6;729958,41;9155,7;644948;72797;61946;10851;1233;75980;23848;29241;16437;6454;7247846;46406;6141409;812517;247514;0;0;87,92115768;62901,80717;140,8922292;246267,2609;1193222;930442;580691;30803;284777;801873;553795;483219;7873;86120;3762980;421,9683541
1214410,744;13686;0;0;225;0;0;4033;0;5143;4285;3349;4522;5715;77;23;40040;3123;16372;1071;4660;1494;35074;4660;306;6497;81,38372666;82,90288951;80,73267104;68,43430886;82,10344266;84,09419752;104,0229859;94,26554933;92,08941662;135,1078791;1093051;499738;579413;13900;580883;139212;130536;8676;2195;57162;23450;6754;10704;16254;20823592;298723;15554087;1512159;431511;2084594;617134;90,51685343;65045,11256;141,9058423;246113,307;1168798;913490;393704;27144;275770;787908;590215;428395;7813;84544;4064083;361,3606834
1229326,098;65417;29575;3815;124;1056;722;1810;19722;4978;3615;2062;57538;5630;150;37;47530;4329;22647;1314;5187;1006;42285;5187;58;7473;97,05503384;72,4155825;101,3166852;106,1540538;86,90086919;105,3792823;129,733812;84,00720446;102,575923;133,798435;1139317;708578;418160;12579;636204;128602;109176;19426;2460;41737;17156;10378;9159;5044;38156545;418991;26618844;1868262;665833;6722516;1327185;94,8151117;68217,26071;141,9058423;246113,307;1334678;830681;474381;36497;282619;855560;566438;460742;7245;89346;3214664;404,9971274
